dots,a,data
160,62,1.0021405957031244
161,66,1.0022563535778015
162,100,1.002081168969873
163,101,1.0021855762791274
164,50,1.002270273388301
165,49,1.0021390095293021
166,49,1.0021083657805745
167,46,1.0020851628584633
168,71,1.0020772534495672
169,99,1.0019816049075816
170,123,1.0020451919876423
171,121,1.0019706396460197
172,71,1.0019625392791183
173,64,1.001931594282752
174,136,1.0020652119669318
175,108,1.0019305500574747
176,111,1.0018571512709329
177,65,1.001874286604764
178,68,1.0017202366106106
179,104,1.001779974954669
180,139,1.0020164563328684
181,75,1.0017364066978567
182,54,1.001809632819183
183,67,1.0017497004388585
184,142,1.0018080858862692
185,117,1.001700673357305
186,131,1.001664423039247
187,116,1.0016622215701318
188,69,1.001640584958318
189,134,1.0017660642174335
190,112,1.0016404576392146
191,74,1.0015742502659524
192,119,1.0015584274574554
193,81,1.001538786640652
194,119,1.0015181813122362
195,76,1.0016641774395763
196,121,1.0014844452132856
197,71,1.0016557574429286
198,140,1.0015026452171008
199,55,1.0014673322784755
200,118,1.0014995880000004
201,145,1.0015642838963685
202,78,1.001462837914683
203,46,1.0015508211102873
204,149,1.0015351400867438
205,129,1.0014947252510022
206,78,1.0014511081437
207,128,1.0013482997719036
208,79,1.0013327807765051
209,128,1.0013154050588164
210,62,1.0013444299443097
211,89,1.0014085811088114
212,89,1.0012731202635172
213,62,1.0013827528400843
214,120,1.0013213306927877
215,152,1.0013671996936888
216,58,1.0013053689167746
217,64,1.0013661169058201
218,128,1.001244841238757
219,155,1.001304942586905
220,97,1.0013409282152832
221,62,1.0013022619421452
222,130,1.0011934327868213
223,82,1.0012743751905069
224,162,1.001193668185938
225,98,1.0012528684481017
226,131,1.001238827165069
227,133,1.0012034929416325
228,63,1.001260589237344
229,134,1.0011779851309988
230,68,1.0011203865051956
231,134,1.0012183509455312
232,142,1.0011087906539229
233,144,1.0010516298680967
234,98,1.00108497191781
235,138,1.001154778699669
236,65,1.001131065687486
237,104,1.0011184762553056
238,92,1.001042554291846
239,169,1.0010748653647406
240,71,1.001083331886573
241,136,1.0010735487195774
242,142,1.001003753607017
243,149,1.0010556454247452
244,170,1.0010988317719371
245,142,1.001072329761251
246,152,1.0009882949000923
247,178,1.0010448322197227
248,109,1.0010399588402688
249,154,1.001016626934764
250,183,1.0010290802687971
251,181,1.0009850047589792
252,110,1.0010249025564142
253,74,1.0009664566805707
254,179,1.0009565274881056
255,163,1.0009719208165373
256,94,1.0009071305394173
257,186,1.0009523282952308
258,100,1.0008897910461951
259,158,1.000934409398468
260,94,1.00097724589475
261,100,1.0009201773549141
262,152,1.0008585927600293
263,154,1.0008916687741838
264,155,1.0008827939029017
265,154,1.0008910453393067
266,79,1.000885838482935
267,79,1.0008782930478073
268,169,1.0008534280177235
269,194,1.0008611775304261
270,188,1.0008756759075772
271,191,1.000845806976657
272,103,1.0008637788910306
273,172,1.0008413869032127
274,193,1.000825455118897
275,76,1.0008385866888883
276,82,1.000865934848983
277,106,1.0008062602891385
278,114,1.000841485732689
279,214,1.0008799665423527
280,107,1.0008051470741348
281,109,1.000785666412663
282,119,1.0007784244426938
283,179,1.0007721173333233
284,165,1.000765062777621
285,83,1.0008396277794958
286,181,1.0007713847929305
287,176,1.000747778350252
288,178,1.0007089092462196
289,80,1.0007510731335354
290,179,1.0007442919009515
291,202,1.0008068073440435
292,171,1.0007188308335693
293,212,1.0007282544103027
294,128,1.0007448684730855
295,108,1.0007244461628237
296,130,1.0007505900306846
297,188,1.0007123571202354
298,88,1.0007202976991763
299,183,1.0006998336998116
300,209,1.0007477327407406
301,89,1.000682844839631
302,185,1.000682310683955
303,187,1.0006791127082109
304,82,1.000696990657922
305,177,1.0006680654270101
306,196,1.000700745651926
307,178,1.000657679935494
308,191,1.0006520497401612
309,128,1.0007091021710781
310,182,1.0006631945348285
311,119,1.0006378628240333
312,131,1.0006334390322156
313,121,1.0006281166006707
314,198,1.0006451230886313
315,222,1.0006983054728518
316,202,1.0006491706653944
317,196,1.0006104416833888
318,94,1.000638324227023
319,140,1.0006698582608944
320,86,1.0006354083251945
321,94,1.0006484970971228
322,199,1.000601810624465
323,229,1.000639395679183
324,191,1.0006339049901134
325,184,1.0006388872277574
326,202,1.0006028508427114
327,227,1.0006368039469842
328,257,1.0006474313744578
329,193,1.0006275998978111
330,238,1.0005898488010565
331,195,1.000613104085485
332,122,1.000581526051037
333,211,1.0006096296552802
334,138,1.0005750753608909
335,123,1.000552935972148
336,142,1.0005724596208974
337,129,1.000544951838757
338,129,1.0005407709782697
339,239,1.0005853968247136
340,246,1.0005632011110963
341,104,1.0005764363440737
342,242,1.000543957746722
343,199,1.0005228883625406
344,142,1.0005413379025252
345,143,1.000570008678212
346,200,1.000533017184741
347,246,1.0005552557784039
348,125,1.000569622401634
349,135,1.0005469723952543
350,256,1.0005316171062049
351,80,1.0005547225051
352,130,1.0005127124045123
353,199,1.0005388280360854
354,224,1.0005164506131767
355,104,1.000530451815446
356,98,1.0005098200110532
357,131,1.0005345832442607
358,150,1.0004918087569254
359,105,1.0005163101040402
360,133,1.000514732224509
361,261,1.0005213101619848
362,150,1.0004798878226284
363,134,1.0005046835797167
364,229,1.0005008465298257
365,101,1.0005074429898664
366,232,1.000482215936554
367,99,1.0004966293515545
368,107,1.0004994714248725
369,289,1.0005100723232685
370,234,1.000468995950723
371,144,1.0004943599795517
372,262,1.0004594633734043
373,154,1.0004771269258466
374,232,1.0004584505282237
375,272,1.0004931100975396
376,138,1.0004525862576883
377,233,1.000431900897215
378,139,1.0004713481884195
379,239,1.0004601669693511
380,221,1.0004649286761136
381,166,1.0004626839141426
382,148,1.0004346798604185
383,277,1.0004577095629543
384,146,1.0004302969685301
385,212,1.0005020554460688
386,162,1.0004249661976052
387,227,1.0004506744752324
388,238,1.0004194007855975
389,274,1.0004402838749678
390,161,1.0004415342859398
391,145,1.0004351108533063
392,162,1.0004101575340596
393,277,1.0004337366440472
394,165,1.0004306718858715
395,142,1.000438541416127
396,287,1.0004364116737274
397,151,1.0004207322412648
398,288,1.0004047109009795
399,121,1.0004583415690085
400,117,1.0004166658124998
401,246,1.0004134205775959
402,245,1.0004218026528788
403,284,1.0004087504059969
404,169,1.000416311400239
405,248,1.0004143146624331
406,297,1.0004156890325075
407,288,1.0004006943077015
408,239,1.0003909693633835
409,169,1.0003955350933156
410,173,1.000396512118328
411,89,1.0004093220532493
412,239,1.0003981268813855
413,292,1.0003874182915669
414,158,1.0003720815942383
415,152,1.000386573298283
416,258,1.0003678660521134
417,263,1.0003817814357683
418,256,1.0003631911378612
419,173,1.00037696211756
420,302,1.000403025899698
421,249,1.0004152058798554
422,249,1.0003763383197657
423,268,1.000413956613784
424,262,1.0003516549323734
425,157,1.0003653720176744
426,119,1.0003698481404277
427,163,1.0003654537845514
428,270,1.000374278298268
429,274,1.000399059614768
430,311,1.0003622204158669
431,128,1.0003601509923767
432,181,1.0003511515539971
433,254,1.000349118693613
434,269,1.0003541935316123
435,278,1.000389732603001
436,267,1.000350426294157
437,169,1.0003422940466842
438,317,1.0003474791377307
439,303,1.0003798968843036
440,194,1.0003662237893571
441,274,1.0003501241371948
442,318,1.0003562773874095
443,257,1.0003378625822898
444,322,1.000354642641376
445,172,1.0003373396828519
446,165,1.0003352480403749
447,130,1.0003663700326229
448,317,1.000329743519964
449,284,1.0003299288965117
450,124,1.0003428467416544
451,262,1.0003570071510242
452,314,1.0003390747918868
453,281,1.0003239726978683
454,188,1.0003299830570567
455,192,1.0003202382817193
456,191,1.0003177089816604
457,192,1.0003169650643013
458,175,1.0003228773155646
459,259,1.0003434899705468
460,294,1.000328469094944
461,140,1.0003346162137583
462,191,1.0003085497770439
463,269,1.0003068972250846
464,170,1.000321748915254
465,287,1.0003111365435648
466,178,1.0002905373736348
467,274,1.000301383190371
468,287,1.000299791422612
469,338,1.0003042157826463
470,276,1.0003158562865033
471,205,1.0003274437940077
472,342,1.0003096983379869
473,292,1.0002929061631074
474,343,1.0002974353154643
475,206,1.000320527047151
476,186,1.0003135990643672
477,281,1.0003176355422152
478,183,1.0002944026468241
479,185,1.0003107777747606
480,142,1.0002968746383092
481,134,1.000311444688892
482,305,1.0002882797064427
483,128,1.0003131298678385
484,306,1.000300483234932
485,297,1.0002841369476319
486,188,1.0002893139878979
487,186,1.0002789727543795
488,307,1.0003018540966993
489,106,1.000308906513232
490,207,1.0002776908482947
491,145,1.0002959101450468
492,290,1.000280629090971
493,302,1.00027258845914
494,138,1.000285794591343
495,188,1.0002710757842932
496,278,1.0002843783677153
497,345,1.0002913856066424
498,289,1.0002667560931218
499,308,1.0002654104905588
500,306,1.0002812700671952
501,138,1.000295429528006
502,140,1.00027006033563
503,317,1.0002608998709632
504,355,1.0002867031682536
505,192,1.0002585342303278
506,294,1.0002650483747082
507,313,1.0002559039832213
508,150,1.0002623819185268
509,300,1.0002748852366783
510,316,1.0002660482548806
511,356,1.0002722303166638
512,150,1.0002581742592156
513,212,1.000249367341097
514,372,1.0002607924857678
515,191,1.000268191666308
516,142,1.0002611024763968
517,191,1.0002656389459463
518,318,1.0002559633758303
519,152,1.0002661613850243
520,197,1.0002685185436408
521,144,1.0002456984094845
522,214,1.0002520639802497
523,189,1.0002632599913144
524,379,1.0002619271712718
525,384,1.0002725554485576
526,304,1.000244603208955
527,373,1.0002565016018552
528,218,1.0002422205142936
529,374,1.0002538409640565
530,308,1.000244121249384
531,335,1.0002565221325688
532,330,1.0002426592363092
533,219,1.0002522549842268
534,158,1.000240614376295
535,158,1.000252115320978
536,314,1.0002342413884782
537,301,1.0002508483979806
538,388,1.0002360237810364
539,334,1.0002454720170562
540,334,1.0002404163773568
541,200,1.000245002345244
542,207,1.0002258691613652
543,229,1.0002458867272834
544,206,1.0002362193767382
545,207,1.000222917551893
546,209,1.0002217883817603
547,335,1.000220784155775
548,162,1.0002263435335716
549,161,1.000238289446406
550,398,1.0002294813829673
551,311,1.0002353300263649
552,229,1.000230815542392
553,229,1.0002296979951977
554,162,1.0002211143952375
555,343,1.0002136464255302
556,155,1.0002318062950428
557,169,1.0002292674243514
558,165,1.000236322694549
559,393,1.0002289622102218
560,346,1.000220419421595
561,355,1.0002319705255975
562,232,1.0002154133230652
563,392,1.0002240903985207
564,326,1.000213468340939
565,319,1.0002237087929244
566,234,1.0002117584971413
567,152,1.0002248644397622
568,210,1.0002098631948997
569,211,1.0002199916359755
570,157,1.000219919691177
571,417,1.0002207934940799
572,210,1.0002111845032835
573,169,1.0002213075231496
574,362,1.0002051553221822
575,243,1.0002172882325597
576,334,1.0002035508157974
577,239,1.0002099011112484
578,354,1.000205727838464
579,340,1.0002133520485865
580,358,1.0002039088848624
581,360,1.0002136236356758
582,227,1.0002096609101503
583,342,1.0002082251407218
584,362,1.0001973001272306
585,412,1.0002110344713628
586,162,1.000199536141568
587,246,1.000204870442036
588,215,1.0002105102619383
589,430,1.0002091292213484
590,374,1.00019834796702
591,374,1.0002121323801008
592,243,1.000201335468514
593,347,1.0002004357549574
594,218,1.000195094347558
595,422,1.0002033119956706
596,431,1.0002031744787296
597,334,1.000203276435039
598,232,1.0001917367607642
599,432,1.0002008990067994
600,251,1.0001999999629612
601,378,1.0001991064006273
602,178,1.0001872673185612
603,166,1.0001978152205693
604,222,1.0001870243180602
605,169,1.0001960196476285
606,374,1.0001861164445407
607,256,1.0001950512115563
608,373,1.0001961611055592
609,226,1.000193670330498
610,233,1.000176508200548
611,432,1.0001883808966425
612,433,1.0001876588394782
613,254,1.0001868522557475
614,238,1.0001803352720993
615,233,1.0001898050820706
616,358,1.0001788245450056
617,253,1.0001874994513626
618,379,1.0001837254651313
619,360,1.0001859948678884
620,183,1.0001870585833996
621,394,1.000191300127471
622,392,1.000174974230525
623,243,1.000183804690698
624,362,1.0001737690282713
625,367,1.0001840004779214
626,388,1.0001723401158813
627,265,1.0001843727744275
628,455,1.0001817090205176
629,443,1.0001793278033
630,404,1.0001902188369487
631,391,1.0001780732697543
632,365,1.0001790477362054
633,445,1.0001782936992054
634,262,1.000167537427783
635,268,1.000173982748619
636,243,1.0001810132043907
637,374,1.0001726156461606
638,280,1.000182204986404
639,463,1.0001747898778581
640,397,1.0001741738605485
641,179,1.0001728013250748
642,373,1.0001721788093438
643,264,1.0001706675739892
644,246,1.0001649196905678
645,464,1.0001860769039113
646,373,1.0001716367856268
647,408,1.0001667024219267
648,395,1.000172032239764
649,468,1.0001681634660393
650,378,1.0001739229903717
651,412,1.0001708793468755
652,453,1.000168448151481
653,191,1.0001657729600437
654,181,1.0001655528059028
655,251,1.0001681429052727
656,194,1.0001758004373085
657,254,1.0001632521883506
658,243,1.000164655574933
659,417,1.0001672777634187
660,467,1.0001619943739903
661,253,1.0001644426953273
662,258,1.0001669670245485
663,274,1.0001601142271686
664,470,1.0001692796203692
665,246,1.000160174281991
666,413,1.0001630213996189
667,280,1.0001614667507182
668,241,1.000160825563032
669,413,1.0001571255885555
670,246,1.0001515999988295
671,390,1.000156932465348
672,425,1.000159520098284
673,284,1.0001557791123217
674,256,1.000149445789294
675,182,1.0001691897694913
676,262,1.000148322536939
677,413,1.000155589015419
678,263,1.0001534838066435
679,400,1.0001665457999642
680,263,1.0001523647720303
681,400,1.0001654257610957
682,208,1.000157008871881
683,264,1.0001506398265827
684,265,1.0001526035382007
685,432,1.0001496934657266
686,262,1.0001434718802613
687,433,1.000148590079165
688,498,1.000157096748105
689,426,1.0001507953310322
690,401,1.000149885092143
691,427,1.0001485244151025
692,210,1.000151742118324
693,256,1.0001458968219525
694,202,1.0001512714851508
695,288,1.000145004448781
696,490,1.0001547916487585
697,288,1.000143948954088
698,403,1.000147721204032
699,432,1.0001495943191023
700,207,1.0001451878583911
701,430,1.0001446053474317
702,407,1.0001457138374183
703,434,1.0001435787583088
704,194,1.0001504296333472
705,268,1.0001403768945505
706,408,1.0001467446627754
707,433,1.0001416644644143
708,271,1.0001411927152977
709,416,1.0001410977549665
710,198,1.000144515354179
711,211,1.000154911189623
712,402,1.000143523349163
713,443,1.0001424812906612
714,415,1.0001396328835006
715,277,1.0001391143891267
716,422,1.0001416779773709
717,505,1.000137292577252
718,445,1.0001381023714517
719,266,1.0001375941262483
720,199,1.0001388888710256
721,302,1.0001363167525545
722,455,1.0001362882155151
723,409,1.000146780211301
724,510,1.0001409024767454
725,513,1.000134056554445
726,268,1.0001375544525146
727,446,1.000133918189741
728,426,1.0001365327289407
729,269,1.0001464950745405
730,318,1.0001381198955255
731,271,1.0001438011579993
732,269,1.0001317519416222
733,449,1.000131276644168
734,281,1.0001312379069114
735,323,1.000142685202577
736,282,1.000135944179466
737,282,1.0001298727152956
738,433,1.000129547955119
739,218,1.0001416563505139
740,286,1.0001352408464363
741,467,1.0001282092510757
742,454,1.0001344879104774
743,455,1.0001274928285822
744,218,1.000130909701888
745,437,1.0001266331325414
746,528,1.000130063092638
747,313,1.0001257821219978
748,222,1.0001291268008714
749,542,1.000127739377657
750,287,1.00012487036776
751,326,1.000133382379986
752,207,1.0001266098238275
753,208,1.000126160958511
754,466,1.0001185290169763
755,292,1.0001229176410265
756,209,1.0001248579934796
757,446,1.0001309345661984
758,222,1.0001254844432357
759,469,1.0001235881405919
760,318,1.0001266199806624
761,275,1.00013248346933
762,280,1.0001260043325395
763,488,1.0001323594637404
764,298,1.000125549515369
765,473,1.0001193531128614
766,554,1.000124653106367
767,445,1.0001208829715993
768,335,1.0001301447412472
769,284,1.000130387997596
770,536,1.0001356336118912
771,278,1.0001302948456108
772,285,1.000128451944176
773,283,1.0001198128486102
774,208,1.0001226840425612
775,227,1.0001253735712443
776,326,1.0001209145317977
777,482,1.0001183685731694
778,230,1.0001199836708805
779,493,1.0001175539844143
780,458,1.0001202455044218
781,303,1.0001167874350123
782,297,1.000116546874597
783,289,1.0001255072568696
784,342,1.0001183482993627
785,342,1.0001234721603198
786,554,1.0001181461047617
787,289,1.000114607794195
788,233,1.0001134646869507
789,487,1.0001138694584457
790,306,1.0001192491979671
791,466,1.0001210908090634
792,485,1.0001129290952222
793,458,1.0001128298795248
794,302,1.000114700283339
795,487,1.0001118272086567
796,574,1.0001148365950039
797,451,1.000119001669509
798,335,1.0001111272488745
799,490,1.0001197963164579
800,234,1.0001135414531248
801,289,1.0001214006273162
802,337,1.0001098376345923
803,498,1.0001094703453006
804,466,1.0001147326116846
805,467,1.0001087995342448
806,508,1.0001114235428574
807,469,1.0001081131361984
808,470,1.0001132681255236
809,300,1.000115831930003
810,356,1.0001127236130227
811,511,1.0001151549038068
812,594,1.000113022212019
813,499,1.0001137791014523
814,301,1.0001060880054164
815,239,1.000114266417951
816,338,1.0001067532981704
817,474,1.0001052234396752
818,507,1.0001048789097258
819,515,1.0001158429654797
820,313,1.000104246795819
821,337,1.000112345672433
822,314,1.000111210403909
823,482,1.000111507225709
824,362,1.0001083685569925
825,227,1.000114453362314
826,584,1.000105648667938
827,524,1.0001130373331057
828,241,1.000110154399485
829,583,1.0001103076917452
830,343,1.0001015001032163
831,362,1.000111376977774
832,246,1.0001057003447693
833,580,1.000108469928342
834,308,1.0001040715515128
835,592,1.0001082780226733
836,326,1.0001045336158225
837,583,1.0001071771509762
838,492,1.0001027845682173
839,246,1.000106906368524
840,353,1.000109479373929
841,494,1.000107508888833
842,497,1.0001071798440313
843,521,1.000099888068004
844,522,1.000102507571344
845,258,1.0001078936533991
846,367,1.0001065672010148
847,613,1.0001063082069714
848,313,1.0001073785839854
849,538,1.0001077886941638
850,536,1.0000996475026847
851,522,1.0001058931041191
852,614,1.0001007275908804
853,372,1.0001038542671912
854,326,1.000099590332699
855,502,1.0001032898536595
856,617,1.000104440250226
857,606,1.000102579701669
858,239,1.000103873230329
859,485,1.0001020104803933
860,542,1.000098667597204
861,528,1.0001046695762397
862,256,1.0000981126400288
863,505,1.0001009483537255
864,362,1.0000958254399406
865,612,1.0001003932900143
866,508,1.0000952801427623
867,358,1.0000997835833525
868,242,1.0000965120262102
869,548,1.0000995892079758
870,533,1.000100846510423
871,631,1.0001005232951912
872,534,1.0000954973234664
873,494,1.0000991495545315
874,338,1.0000934281896545
875,552,1.0000980347401087
876,514,1.000094688637253
877,555,1.0000918480989147
878,539,1.0000985528034037
879,553,1.0000968491841546
880,557,1.0000981091546173
881,326,1.0000987648509208
882,337,1.00009061619238
883,338,1.0000903447056195
884,565,1.0000979396714653
885,343,1.0000898327448113
886,514,1.0000921089966202
887,559,1.0000992439066034
888,521,1.0000961252273346
889,246,1.0000959678467225
890,564,1.0000919097218637
891,515,1.0000961792375773
892,346,1.0000913528816184
893,547,1.000094667038952
894,371,1.0000958679077685
895,517,1.0000951681079937
896,554,1.0000899095725866
897,380,1.0000950769327503
898,555,1.0000869323302632
899,266,1.0000941196828412
900,637,1.0000924660338346
901,637,1.0000921776340492
902,521,1.0000934807745216
903,268,1.0000916420334653
904,349,1.0000931871803098
905,526,1.0000926413453943
906,344,1.0000883027953886
907,560,1.0000917639092985
908,653,1.0000937322929777
909,347,1.0000939551757075
910,384,1.0000873050721768
911,642,1.0000911467098401
912,382,1.0000866410034932
913,356,1.0000908657408298
914,338,1.0000864234886382
915,338,1.0000890831982296
916,566,1.0000878702222715
917,376,1.0000900065395404
918,647,1.0000895136348567
919,341,1.0000894835832312
920,273,1.0000899427107701
921,520,1.0000890128660958
922,642,1.0000907121794598
923,544,1.0000886259035189
924,542,1.0000841650486842
925,522,1.0000881769723515
926,388,1.000083721586662
927,536,1.0000876783231838
928,547,1.0000875567033278
929,526,1.000088281784688
930,256,1.0000847213540671
931,577,1.0000897029198137
932,258,1.0000842261144929
933,587,1.0000863670301166
934,386,1.0000822237235774
935,259,1.000087659978966
936,574,1.000081796420192
937,274,1.000085672614281
938,580,1.0000828733363674
939,530,1.0000853008760398
940,347,1.0000851171480063
941,592,1.000084864412332
942,386,1.0000886225480259
943,680,1.0000850398985783
944,261,1.0000859477639548
945,557,1.0000840458162203
946,584,1.000079931080639
947,587,1.0000838359944764
948,686,1.0000810351093739
949,693,1.000084010911912
950,558,1.0000867799612274
951,364,1.0000840983809396
952,671,1.0000831379860562
953,283,1.0000828947948668
954,403,1.0000845167922476
955,363,1.0000822006968464
956,366,1.0000801656728218
957,397,1.0000817422945196
958,595,1.0000836302846547
959,372,1.0000819208553016
960,403,1.0000824853459103
961,355,1.0000814683857002
962,265,1.000082843423323
963,280,1.000082223597135
964,354,1.0000785264270151
965,282,1.0000806748365303
966,611,1.0000805138729725
967,680,1.0000802321579971
968,698,1.0000830148789608
969,598,1.000081706290542
970,594,1.0000774111101056
971,612,1.000079505190928
972,685,1.0000792987175067
973,570,1.0000793695563925
974,372,1.000076067792568
975,602,1.0000804221961486
976,362,1.0000817622341986
977,359,1.0000797847136038
978,766,1.0000834996030752
979,378,1.0000793449008814
980,606,1.0000756701089848
981,601,1.0000789184000674
982,407,1.000078291116621
983,695,1.0000774422388217
984,377,1.0000785584787732
985,408,1.0000758252133652
986,382,1.000074318709813
987,377,1.000071827405253
988,417,1.0000770875793714
989,622,1.0000776355071266
990,574,1.0000738907703772
991,576,1.0000776935881313
992,613,1.0000764518912477
993,583,1.0000760848223151
994,629,1.000076773691714
995,607,1.0000765645697407
996,610,1.0000727373128135
997,705,1.0000750221507055
998,616,1.0000723766948294
999,619,1.000075794893099
1000,633,1.0000762922447994
1001,388,1.000075508528529
1002,635,1.0000747562415226
1003,566,1.000075157254331
1004,733,1.0000755081927744
1005,623,1.0000749971741927
1006,622,1.000071153610592
1007,635,1.000073815498821
1008,281,1.0000747609402907
1009,390,1.0000745523761183
1010,586,1.0000705153338658
1011,374,1.0000730777963518
1012,585,1.0000808194386441
1013,299,1.0000739409239656
1014,622,1.00006981145908
1015,642,1.0000735492421533
1016,365,1.0000752482301833
1017,590,1.0000728569701667
1018,301,1.0000725914823907
1019,430,1.0000730217898315
1020,373,1.0000790989846435
1021,374,1.0000733334951548
1022,643,1.0000719519944523
1023,302,1.0000721898168374
1024,275,1.000073754643381
1025,303,1.0000720522884594
1026,602,1.000068041594771
1027,448,1.0000713930936287
1028,631,1.0000709913197683
1029,597,1.0000732095687277
1030,728,1.0000727034920276
1031,605,1.0000710425810921
1032,395,1.0000723718594673
1033,599,1.0000707189266425
1034,437,1.0000712128877127
1035,653,1.000077431968463
1036,397,1.0000716612274732
1037,654,1.000070224577842
1038,758,1.000072109081151
1039,753,1.0000712546386692
1040,613,1.0000692260821635
1041,733,1.000069431968797
1042,644,1.0000669506651216
1043,437,1.000068037840994
1044,289,1.0000703362991596
1045,432,1.0000677251027856
1046,378,1.0000712988770493
1047,755,1.000068631988553
1048,401,1.0000683947087652
1049,433,1.000068948656534
1050,307,1.0000682303400732
1051,610,1.0000695078776278
1052,741,1.0000678139126913
1053,308,1.0000677423325919
1054,463,1.0000690129525822
1055,437,1.0000663540596841
1056,773,1.000069331864906
1057,765,1.0000672793961929
1058,649,1.0000669282793617
1059,443,1.000068193035808
1060,403,1.0000666302257077
1061,671,1.000067026343243
1062,673,1.0000669024066147
1063,670,1.0000667324263504
1064,615,1.0000665705922978
1065,446,1.0000663950791715
1066,404,1.0000683437815368
1067,755,1.0000657929885137
1068,773,1.000067432769913
1069,661,1.0000666533025577
1070,754,1.0000682694626146
1071,314,1.0000695750485622
1072,317,1.0000650114617926
1073,680,1.000065450940265
1074,602,1.0000679137681916
1075,678,1.0000651302543417
1076,659,1.0000662096948192
1077,622,1.0000649043837089
1078,625,1.0000647495351913
1079,626,1.0000654026155473
1080,419,1.0000655895915531
1081,668,1.0000650793866963
1082,765,1.0000637553267955
1083,455,1.0000639829269864
1084,686,1.0000615734299598
1085,666,1.000069266856103
1086,671,1.000064319589374
1087,684,1.000068745674039
1088,758,1.0000655402314609
1089,301,1.0000638837552824
1090,674,1.0000607794679317
1091,673,1.0000636459217935
